CompanyID,Name_co,Category_co,Hashtags_co,Country_co,Followers_co
0,The Little Shop,Cars,#instadaily#food#followback#instatravel,Brazil,195608
1,The Cozy Kitchen,Sports with a ball,#instalike#fashion#holidayseason#skiing#loveit,Egypt,415795
2,The Roost,Art,#blessings#foodlife#endurance#fitnessmotivation#foodie,Turkey,116164
3,The Wooden Spoon,Computers,#foodislifee#familytime,Iran,524384
4,Sunflower Fields,Management,#health#trendy,Germany,307127
5,The Sweet Spot,Nature  landscapes,#follow4follow#getfit#follow,Tanzania,382135
6,Harvest Moon,Beauty,#foodtime#photo#transportation#fitnessmotivation#parkour,Egypt,444735
7,The Garden Shed,Cars,#education#summer2022#foodgawker,Kenya,368891
8,The Cozy Nest,Modeling,#foodexplorer#manufacturing#sports#foodgawker,Iran,544801
9,The Rustic Mill,Fitness,#followback#holiday#runnersofinstagram,Philippines,167680
10,The Rustic Birdhouse,Nature  landscapes,#naturelovers#party#gym#foodnetwork,Japan,436344
11,The Olive Branch,Undefined,#telecom#instafit#amazing#foodgawker,Egypt,528764
12,The Happy Camper,Cars,#foodie#skiing#quote#tbt,Kenya,383642
13,Riverbank Cafe,Racing,#fashionstyle#fashion#weekendvibes#trendy,United Kingdom,519963
14,The Rustic Lantern,Humor,#gains#sports,Russia,460425
15,The Daily Grind,Machinery,#runnersofinstagram#lifestyle#instalike,Russia,441483
16,The Sunflower Cafe,Luxury,#instalike#yoga,Thailand,7422
17,Cherry Blossom,Science,#motivational#foodisart#followme,United States,200702
18,Simply Elegant,Lifestyle,#instaphoto#photographysouls,Mexico,380839
19,Copper Cup,Undefined,#blogger#photooftheday#foodieforlife#selfie,Bangladesh,83087
20,The Rustic Table,Cinema,#happyme#fitspo#beautyful,Thailand,533346
21,Aroma Cafe,Adult content,#runnersofinstagram#cute#foodisart#quote#beautiful,Pakistan,291766
22,High Tide Cafe,Accessories,#athlete#goodvibes#pilates,France,572195
23,The Greenhouse,Art,#naturephotography#style#strength,Nigeria,282957
24,The Espresso Bar,Clothing,#dog#foodisart,Indonesia,97442
25,The Ice Cream Parlor,Beauty,#manufacturing#goodnight#doglover#photooftheday#smilemore,Nigeria,55865
26,The Glass House,Modeling,#girlpower#smile#girl#smiles#beautifuldestinations,Iran,278737
27,The Spice House,Machinery,#beautifulday#girlpower#wanderlust#friendsforever,Spain,368927
28,Crimson Clover,Finance,#naturephotography#fitspo#musician#foodinspo#yum,Germany,30701
29,The Cottage Cafe,Adult content,#fashionblogger#muscle,DR Congo,92451
30,Vintage Vineyards,Modeling,#goodvibes#cricket#motivation#foodbloggersofinstagram,Mexico,340720
31,The Lemon Tree,Finance,#swimming#party,Myanmar,339169
32,The Garden Gate,Racing,#entrepreneur#lifestyle,France,133995
33,Harmony House,Finance,#foodisart#strength#travel#tennis#photoart,South Korea,41307
34,Coastal Cafe,Nature  landscapes,#fashion#yoga#likeforlike#foodie,Germany,338558
35,The Wooden Crate,Sports with a ball,#instagood#follow,India,56885
