AccountID,Account,Link,Followers,Audience Country,Authentic engagement,Engagement avg,Category1,Hashtags,Cost Story,Cost Post
1,cristiano,https://www.instagram.com/cristiano/,400100000.0,India,7800000.0,9500000.0,Sports with a ball,#football#entrepreneur#foodstylist#love#travelphotography#motivation#tennis#getfit,468000.0,1092000.0
2,kyliejenner,https://www.instagram.com/kyliejenner/,308800000.0,United States,6200000.0,10100000.0,Fashion,#blessed#fashionstyle#foodexperience#quotes#foodaddict#telecom#photographysouls#summer#foodexplorer#fashionable,372000.0,868000.0000000001
3,leomessi,https://www.instagram.com/leomessi/,306300000.0,Argentina,4800000.0,6500000.0,Sports with a ball,#marathon#foodlover#fashionblogger#motivation#entrepreneur#workoutmotivation#media#gains,288000.0,672000.0000000001
4,kendalljenner,https://www.instagram.com/kendalljenner/,217800000.0,United States,3400000.0,5400000.0,Modeling,#food#fitlife#fitnessmodel#vacation#familytime#blessed#instatravel#quote#ootd,204000.0,476000.00000000006
5,selenagomez,https://www.instagram.com/selenagomez/,295800000.0,United States,2700000.0,3600000.0,Music,#blackandwhite#fashionblogger#fashion#holidayseason#girl#soccer#beautyblogger#quotes,162000.0,378000.00000000006
6,zendaya,https://www.instagram.com/zendaya/,127800000.0,United States,5800000.0,7800000.0,Cinema,#naturephotography#weekendvibes#yoga#photooftheday#smile#blogger#nature#manufacturing#musician#workout,348000.0,812000.0000000001
7,kimkardashian,https://www.instagram.com/kimkardashian/,284900000.0,United States,2200000.0,3300000.0,Fashion,#friends#telecom#styleinspiration#goodtimes,132000.0,308000.00000000006
8,beyonce,https://www.instagram.com/beyonce/,237200000.0,United States,2500000.0,3600000.0,Music,#yoga#sports#lifestyle#muscle#hockey,150000.0,350000.00000000006
9,arianagrande,https://www.instagram.com/arianagrande/,294100000.0,United States,1700000.0,2400000.0,Music,#cardio#happy#sky#fashionblogger#igers#styleinspiration#goodvibes#girlpower,102000.0,238000.00000000003
10,billieeilish,https://www.instagram.com/billieeilish/,100000000.0,United States,5300000.0,7000000.0,Music,#goodtimes#life#weekend#outfit#foodporn#coffee#holidayvibes,318000.0,742000.0000000001
11,neymarjr,https://www.instagram.com/neymarjr/,169800000.0,Brazil,2800000.0,4000000.0,Sports with a ball,#luxury#couplesgoals#goodmorning#musician#naturelovers#foodexperience#foodstagram#blackandwhite,168000.0,392000.00000000006
12,lalalalisa_m,https://www.instagram.com/lalalalisa_m/,73100000.0,Indonesia,7500000.0,8600000.0,Music,#healthylifestyle,450000.0,1050000.0
13,jennierubyjane,https://www.instagram.com/jennierubyjane/,62300000.0,Indonesia,6400000.0,7600000.0,Music,#nature#holiday#dogstagram#training#rugby,384000.0,896000.0000000001
14,tomholland2013,https://www.instagram.com/tomholland2013/,60900000.0,United States,5900000.0,7200000.0,Cinema,#follow4follow#picoftheday#healthy#summer2022#travelphotography#cycling,354000.0,826000.0000000001
15,virat.kohli,https://www.instagram.com/virat.kohli/,182600000.0,India,2100000.0,2400000.0,Sports with a ball,#instadaily#funny#fitness#fashionblogger,126000.0,294000.0
